article_id,article_version,article_type,contractor_id,contractor_type_id,contractor_version,last_updated
52369,17,6,500,8,1,2026-07-14 22:42:58.437000
52369,17,6,501,8,1,2026-07-14 22:42:58.437000
52369,17,6,502,8,1,2026-07-14 22:42:58.437000
52369,17,6,504,9,1,2026-07-14 22:42:58.437000
52369,17,6,505,9,1,2026-07-14 22:42:58.437000
52369,17,6,506,9,1,2026-07-14 22:42:58.437000
52369,17,6,507,13,1,2026-07-14 22:42:58.437000
52369,17,6,508,13,1,2026-07-14 22:42:58.437000
52369,17,6,509,13,1,2026-07-14 22:42:58.437000
52369,17,6,510,13,1,2026-07-14 22:42:58.437000
52369,17,6,511,13,1,2026-07-14 22:42:58.437000
52369,17,6,512,13,1,2026-07-14 22:42:58.437000
52369,17,6,513,13,1,2026-07-14 22:42:58.437000
52369,17,6,514,13,1,2026-07-14 22:42:58.437000
52369,17,6,515,13,1,2026-07-14 22:42:58.437000
52369,17,6,516,13,1,2026-07-14 22:42:58.437000
52369,17,6,517,13,1,2026-07-14 22:42:58.437000
52369,17,6,519,13,1,2026-07-14 22:42:58.437000
52369,17,6,520,13,1,2026-07-14 22:42:58.437000
52369,17,6,521,13,1,2026-07-14 22:42:58.437000
52369,17,6,522,13,1,2026-07-14 22:42:58.437000
52369,17,6,523,13,1,2026-07-14 22:42:58.437000
52370,135,6,500,8,1,2026-07-31 17:44:06.307000
52370,135,6,501,8,1,2026-07-31 17:44:06.307000
52370,135,6,502,8,1,2026-07-31 17:44:06.307000
52370,135,6,504,9,1,2026-07-31 17:44:06.307000
52370,135,6,505,9,1,2026-07-31 17:44:06.307000
52370,135,6,506,9,1,2026-07-31 17:44:06.307000
52370,135,6,507,13,1,2026-07-31 17:44:06.307000
52370,135,6,508,13,1,2026-07-31 17:44:06.307000
52370,135,6,509,13,1,2026-07-31 17:44:06.307000
52370,135,6,510,13,1,2026-07-31 17:44:06.307000
52370,135,6,511,13,1,2026-07-31 17:44:06.307000
52370,135,6,512,13,1,2026-07-31 17:44:06.307000
52370,135,6,513,13,1,2026-07-31 17:44:06.307000
52370,135,6,514,13,1,2026-07-31 17:44:06.307000
